#,Manufacturer_Part_Number,Manufacturer_Name,Qty,Value,DNP,Reference
1,GRM21BR71A105MA01L,Murata,17,1uF,,"C1,C2,C3,C4,C6,C7,C9,C11,C13,C15,C17,C19,C21,C23,C25,C27,C29"
2,GJ4216C81E104JA01D,Murata,13,0.1uF,,"C5,C8,C10,C12,C14,C16,C18,C20,C22,C24,C26,C28,C30"
3,150080GS75000,Würth Elektronik,10,LED,,"D1,D2,D3,D4,D5,D6,D7,D8,D9,D10"
4,ADC0820BCWMX/NOPB,Texas Instruments,1,,,IC1
5, LCMXO3LF-1300C-5TG100C ,Lattice Semiconductor,1,,,IC2
6,LP38692MPX-3.3/NOPB,Texas Instruments,1,,,IC3
7,LP38692MPX-5.0/NOPB,Texas Instruments,1,,,IC4
8,G800W302018EU,Amphenol ICC,1,,,J1
9,AC0805FR-7W10KL,YAGEO,9,10K,,"R1,R2,R3,R4,R5,R6,R7,R8,R9"
10,ERJ-PB6D5100V,Panasonic,10,510,,"R10,R11,R12,R13,R14,R15,R16,R17,R18,R19"
11,219-8MST,CTS,1,,,S1
12,EVQ-7Q201W,Panasonic,1,,,S2
13,4952,Keystone Electronics,4,"5V Input,GND Input,Probe+,Probe-",,"TP1,TP2,TP3,TP4"
14,,,3,"CLK,INITN,PROGRAMN",DNP,"TP5,TP6,TP7"
15,ECS-5032MV-320-BN-TR,ECS,1,,,Y1
